hidden_size,lr,best_val_mse
32,0.0005,0.007770360392682692
32,0.001,0.00728391349206076
32,0.01,0.007008222123498426
64,0.0005,0.007307414759827011
64,0.001,0.0070240329814088695
64,0.01,0.0071121349328142755
128,0.0005,0.007065689643187558
128,0.001,0.00672297238591401
128,0.01,0.007091083906262237
